filename,delG,no,RS,rotamer,EZ,ring,in_out,ph_rota,otds,cor,rota_ring,in_out_cor,label_dft
C_Me_RMe_R_139.out,5.823620425,139,R,app,E,3,out,per,0,0,app3,out0,app E 3 out per 0
C_Me_RMe_R_381.out,6.718272275,381,R,app,E,3,out,per,0,0,app3,out0,app E 3 out per 0
C_Me_RMe_R_574.out,3.9380645,574,R,syn_exo,E,1,in,per,1,1,syn_exo1,in1,syn_exo E 1 in per 1
C_Me_RMe_R_577.out,3.70203665,577,R,syn_exo,E,4,out,per,0,0,syn_exo4,out0,syn_exo E 4 out per 0
C_Me_RMe_R_667.out,4.27175645,667,R,app,E,2,out,per,1,0,app2,out0,app E 2 out per 1
C_Me_RMe_R_688.out,6.04233555,688,R,syn_exo,E,1,in,per,0,0,syn_exo1,in0,syn_exo E 1 in per 0
C_Me_RMe_R_824.out,3.988170375,824,R,syn_exo,E,0,in,per,1,1,syn_exo0,in1,syn_exo E 0 in per 1
C_Me_RMe_R_1242.out,5.31742245,1242,R,syn_endo,E,5,in,per,0,0,syn_endo5,in0,syn_endo E 5 in per 0
C_Me_RMe_R_1248.out,3.328642775,1248,R,syn_exo,E,5,in,per,0,0,syn_exo5,in0,syn_exo E 5 in per 0
C_Me_RMe_R_1801.out,1.968586725,1801,R,app,E,3,in,per,0,0,app3,in0,app E 3 in per 0
C_Me_RMe_R_1802.out,4.435602975,1802,R,syn_exo,E,0,in,per,0,1,syn_exo0,in1,syn_exo E 0 in per 0
C_Me_RMe_R_1805.out,0.9164763,1805,R,app,E,4,in,per,0,1,app4,in1,app E 4 in per 0
C_Me_RMe_R_1806.out,5.738318075,1806,R,app,E,4,out,per,0,0,app4,out0,app E 4 out per 0
C_Me_RMe_R_1807.out,1.988541225,1807,R,syn_exo,E,0,in,per,1,0,syn_exo0,in0,syn_exo E 0 in per 1
C_Me_RMe_R_1808.out,3.826413425,1808,R,syn_exo,E,0,in,per,1,1,syn_exo0,in1,syn_exo E 0 in per 1
C_Me_RMe_R_1809.out,0,1809,R,app,E,4,in,per,1,1,app4,in1,app E 4 in per 1
C_Me_RMe_R_1810.out,1.391964425,1810,R,app,E,3,in,per,1,0,app3,in0,app E 3 in per 1
C_Me_RMe_R_1811.out,1.40084355,1811,R,app,E,3,in,per,1,0,app3,in0,app E 3 in per 1
C_Me_RMe_S_94.out,5.36892765,94,S,app,E,4,in,per,0,0,app4,in0,app E 4 in per 0
C_Me_RMe_S_250.out,2.44098755,250,S,app,E,3,in,per,1,1,app3,in1,app E 3 in per 1
C_Me_RMe_S_326.out,4.092975425,326,S,app,E,4,in,para,0,0,app4,in0,app E 4 in para 0
C_Me_RMe_S_611.out,2.9531907,611,S,app,E,4,in,para,1,0,app4,in0,app E 4 in para 1
C_Me_RMe_S_705.out,6.00255205,705,S,app,E,3,out,per,0,0,app3,out0,app E 3 out per 0
C_Me_RMe_S_1330.out,5.20161105,1330,S,app,Z,2,in,para,1,0,app2,in0,app Z 2 in para 1
C_Me_RMe_S_1481.out,5.88711715,1481,S,syn_endo,E,5,in,para,0,0,syn_endo5,in0,syn_endo E 5 in para 0
C_Me_RMe_S_1594.out,4.857521425,1594,S,syn_endo,E,5,out,per,0,0,syn_endo5,out0,syn_endo E 5 out per 0
C_Me_RMe_S_1680.out,5.708995,1680,S,syn_exo,E,4,in,per,0,0,syn_exo4,in0,syn_exo E 4 in per 0
C_Me_RMe_S_1803.out,5.38737615,1803,S,syn_exo,E,0,in,per,0,0,syn_exo0,in0,syn_exo E 0 in per 0
C_Me_RMe_S_1804.out,1.057180625,1804,S,app,E,4,in,per,1,1,app4,in1,app E 4 in per 1
C_Me_RMe_S_1812.out,3.90584865,1812,S,syn_exo,E,4,in,per,1,0,syn_exo4,in0,syn_exo E 4 in per 1
C_Me_RMe_S_1813.out,1.855523775,1813,S,syn_exo,E,4,in,per,1,0,syn_exo4,in0,syn_exo E 4 in per 1
C_Me_RMe_S_1814.out,2.4165276,1814,S,app,E,4,in,per,1,0,app4,in0,app E 4 in per 1
C_Me_RMe_S_1815.out,5.77725445,1815,S,app,E,3,out,per,1,0,app3,out0,app E 3 out per 1